province,province_name,sur,este,noroeste,centro,madrid,barcelona,norte,noreste,extra
2,Albacete,0,0,0,1,0,0,0,0,0
3,Alicante/Alacant,0,1,0,0,0,0,0,0,0
4,Almería,1,0,0,0,0,0,0,0,0
1,Araba/Álava,0,0,0,0,0,0,1,0,0
33,Asturias,0,0,1,0,0,0,0,0,0
5,Ávila,0,0,0,1,0,0,0,0,0
6,Badajoz,1,0,0,0,0,0,0,0,0
7,"Balears, Illes",0,1,0,0,0,0,0,0,0
8,Barcelona,0,0,0,0,0,1,0,0,0
48,Bizkaia,0,0,0,0,0,0,1,0,0
9,Burgos,0,0,0,1,0,0,0,0,0
10,Cáceres,1,0,0,0,0,0,0,0,0
11,Cádiz,1,0,0,0,0,0,0,0,0
39,Cantabria,0,0,1,0,0,0,0,0,0
12,Castellón/Castelló,0,1,0,0,0,0,0,0,0
13,Ciudad Real,0,0,0,1,0,0,0,0,0
14,Córdoba,1,0,0,0,0,0,0,0,0
15,"Coruña, A",0,0,1,0,0,0,0,0,0
16,Cuenca,0,0,0,1,0,0,0,0,0
20,Gipuzkoa,0,0,0,0,0,0,1,0,0
17,Girona,0,0,0,0,0,0,0,1,0
18,Granada,1,0,0,0,0,0,0,0,0
19,Guadalajara,0,0,0,1,0,0,0,0,0
21,Huelva,1,0,0,0,0,0,0,0,0
22,Huesca,0,0,0,0,0,0,0,1,0
23,Jaén,1,0,0,0,0,0,0,0,0
24,León,0,0,0,1,0,0,0,0,0
25,Lleida,0,0,0,0,0,0,0,1,0
27,Lugo,0,0,1,0,0,0,0,0,0
28,Madrid,0,0,0,0,1,0,0,0,0
29,Málaga,1,0,0,0,0,0,0,0,0
30,Murcia,0,1,0,0,0,0,0,0,0
31,Navarra,0,0,0,0,0,0,1,0,0
32,Ourense,0,0,1,0,0,0,0,0,0
34,Palencia,0,0,0,1,0,0,0,0,0
35,"Palmas, Las",0,0,0,0,0,0,0,0,1
36,Pontevedra,0,0,1,0,0,0,0,0,0
26,"Rioja, La",0,0,0,0,0,0,1,0,0
37,Salamanca,0,0,0,1,0,0,0,0,0
38,Santa Cruz de Tenerife,0,0,0,0,0,0,0,0,1
40,Segovia,0,0,0,1,0,0,0,0,0
41,Sevilla,1,0,0,0,0,0,0,0,0
42,Soria,0,0,0,1,0,0,0,0,0
43,Tarragona,0,0,0,0,0,0,0,1,0
44,Teruel,0,0,0,0,0,0,0,1,0
45,Toledo,0,0,0,1,0,0,0,0,0
46,Valencia/València,0,1,0,0,0,0,0,0,0
47,Valladolid,0,0,0,1,0,0,0,0,0
49,Zamora,0,0,0,1,0,0,0,0,0
50,Zaragoza,0,0,0,0,0,0,0,1,0
51,Ceuta,0,0,0,0,0,0,0,0,1
52,Melilla,0,0,0,0,0,0,0,0,1
