days_last,fweight
9,32818
130,10708
6,12497
4,28564
10,72916
51,16353
17,16353
1,16353
24,35845
42,8364
55,20970
77,24999
20,32136
8,32136
3,19961
39,24423
12,19762
28,30994
20,29640
19,9922
23,9922
158,31116
7,66382
9,66382
1,29483
1,29112
2,32695
0,32695
48,32695
6,24825
31,19685
51,21604
48,38509
23,38509
3,43828
4,43828
30,38509
7,9591
425,15562
14,44258
8,17213
4,17213
18,21961
40,21961
0,34039
93,26080
9,32307
8,38083
16,36539
32,36539
29,28663
26,13691
10,13691
161,13691
12,13691
12,29178
93,17128
26,93912
20,17913
51,24265
36,29124
11,29124
43,21976
8,25742
54,25428
54,25428
1,23032
60,23166
5,23166
28,15690
9,42029
10,17696
36,48964
30,48964
19,51584
4,62924
48,35669
2,35669
2,14491
1,14491
13,14563
6,73779
34,36922
9,36922
2,22943
89,73488
22,7668
35,65256
8,30332
1,51073
101,49547
14,20742
15,67181
9,61301
9,12559
40,27915
136,29972
0,17507
2,35288
45,22128
69,22128
19,17977
12,22221
1,22221
14,59899
0,39435
40,18135
42,24123
5,31591
18,8943
2,4664
9,32005
18,29638
40,29638
276,6367
40,104526
4,24685
34,26934
81,26492
19,61720
20,61720
47,68774
48,35671
13,35671
71,35671
64,13444
64,13444
3,18596
6,28420
23,51445
12,11752
30,11752
19,15254
4,17906
4,17906
11,16394
37,26501
3,111598
3,10798
22,13506
3,32064
37,32064
24,90875
8,27956
27,27956
78,27956
3,13713
10,54488
10,54488
89,55770
36,15794
2,61103
30,6858
1,6858
29,20446
7,7399
36,13855
11,64974
3,96675
11,96675
84,24618
0,54259
0,54259
1,68474
1,68474
8,25295
23,25295
17,25295
0,25295
8,50516
13,50516
7,30206
54,15783
61,15783
7,39410
5,11857
24,165684
1,29725
19,13991
6,13991
39,17182
0,31845
19,31845
6,37823
28,23233
6,32662
25,11568
15,39870
7,39870
14,23445
2,27411
51,22496
15,22496
5,32446
10,29263
39,21112
12,21112
399,21112
103,9433
3,26180
10,33090
10,18508
12,18508
39,48797
21,39790
10,39790
11,39790
3,16045
1,19922
28,10001
45,39633
48,25126
60,25126
15,15214
5,25807
30,14917
46,26208
23,53011
32,33896
4,9206
380,9206
1,105317
71,17358
4,8541
30,11099
40,21208
25,20999
6,14516
36,11910
18,9058
51,16847
40,16847
113,6620
30,13905
15,12428
28,68753
28,68753
44,15056
16,6712
10,21805
100,17061
22,12231
1,24344
64,17985
76,17985
1,38512
2,38512
7,42908
7,22353
2,19281
11,45810
16,6575
7,45810
25,28779
31,19481
8,33603
8,33603
23,33603
28,29916
72,14237
71,27207
21,27207
34,12014
35,30848
10,30848
8,30848
57,25700
2,10189
10,17295
32,26479
64,11092
36,32524
30,21806
9,21885
47,23442
3,23442
20,24616
14,53822
27,49659
17,19200
18,19200
1,31360
7,17733
9,18934
4,27458
47,106528
6,25726
24,8380
120,28210
168,28210
56,23179
33,30552
24,30552
1,13477
9,23868
18,23868
1,37275
13,28921
7,46159
3,43864
51,9107
6,18042
39,18042
1,23076
7,11092
9,16077
19,2495
7,35116
4,35116
3,38053
87,22594
10,20640
15,20640
24,19120
24,50704
63,50704
8,12803
12,12377
0,18528
17,38157
61,10938
19,10938
5,16330
2,16330
4,47487
4,29509
9,15411
1,25028
1,5761
36,22806
27,8037
16,8037
25,7371
27,31465
25,19474
36,43994
9,43179
48,18292
22,12683
16,21345
48,22276
29,22276
108,11583
5,16615
60,16615
9,44793
1,208979
24,29221
19,20635
19,20635
21,30982
15,32819
20,24870
8,41319
0,41319
0,41319
0,41319
60,14326
96,14326
9,9972
12,97180
14,20456
30,11081
11,30994
12,25775
12,15453
22,20768
4,20500
46,22535
3,61488
10,27953
7,24078
3,24078
31,48349
3,19103
3,19103
3,19103
3,19103
8,20809
27,16478
36,16478
16,36678
6,25654
3,26138
88,26138
13,28165
13,28165
5,23753
28,25278
7,11006
17,36226
48,12822
53,12822
37,12909
21,29835
4,24210
8,33201
2,24179
5,23229
16,29670
6,9564
8,14338
41,70339
9,34749
34,24615
18,9451
51,44701
17,32121
77,32121
84,19074
13,18149
63,29244
10,18590
7,18590
6,35182
15,35182
3,28364
5,15993
2,22594
5,12579
24,50364
255,47059
4,16597
36,33084
1,89575
5,89575
3,22773
7,38229
1,129846
10,129846
16,20326
31,59707
18,13015
4,4047
1,93182
31,7397
9,84838
17,17101
15,24431
2,17218
3,17218
12,32882
7,32882
3,16293
3,16293
6,16293
39,13995
3,13995
8,72503
2,72503
6,33766
3,89936
8,65273
16,65273
31,69851
16,35096
60,35096
2,39554
14,28735
24,28735
0,14411
51,15503
10,15503
52,15503
40,26505
1,26505
8,8041
7,19166
19,55392
17,14055
8,56083
9,21935
4,51966
1,23080
10,32543
11,108017
3,26112
36,36335
11,36335
23,26764
7,41766
1,46690
45,46690
96,10344
11,7050
44,11075
12,17675
8,7161
118,15925
16,24555
36,25627
19,24555
56,25627
2,42895
1,13784
21,11900
5,22514
37,16514
9,11215
1,16435
20,24186
3,16318
10,11237
32,11007
7,10867
60,19344
14,8062
32,28412
3,10187
37,26091
1,23181
7,23181
27,23178
48,16537
48,16537
48,16537
4,16428
68,16551
37,30017
1,30017
37,30017
72,18731
7,28359
56,16150
8,8133
12,10344
4,20304
9,20304
72,12611
13,16046
48,35157
52,21159
31,12054
9,25680
11,35637
6,8050
152,8050
19,27237
17,20985
8,14660
54,37880
39,38830
3,15743
25,18764
63,34352
2,42393
19,98907
12,15333
1,26708
20,26708
56,26708
13,22698
26,27261
1,25675
9,22698
24,29228
25,35303
123,32738
63,32738
3,11813
15,12347
32,28564
304,12663
56,40069
123,40069
3,19226
220,12911
24,16544
44,18972
26,35802
24,14968
30,14968
24,14968
123,31344
37,67775
21,19623
7,19623
58,25494
20,22974
51,34184
63,34184
2,27444
392,18101
8,22294
32,59875
20,59875
24,16042
55,16756
20,130123
44,145828
30,99846
1,10663
20,49405
38,8923
72,20907
2,40433
336,17226
51,40433
30,7756
56,10626
66,10626
11,17969
2,19335
28,6308
1,43062
25,33745
20,54022
32,36710
63,43062
18,111528
24,8898
1,33475
11,9565
1,18631
34,6114
60,6114
36,20644
27,20644
16,134895
30,6770
4,33916
59,7327
76,9868
2,15571
36,21515
3,21515
22,9722
27,21515
50,7177
3,22455
2,53541
4,53541
71,33195
15,109249
48,33195
2,58651
3,15502
3,71462
6,60761
41,119955
3,7856
76,48888
16,130070
9,11967
10,13809
27,15568
76,212750
4,212750
50,109994
48,109994
17,29417
1,28522
1,14631
14,28522
13,28522
2,102428
14,26556
14,122808
11,48950
1,48950
2,48950
3,54986
7,11210
7,11210
4,17881
12,17881
5,43389
30,231323
3,12998
44,18333
7,18333
14,102407
63,12998
13,44199
9,56246
3,12944
4,41193
1,41193
2,14631
44,15807
7,66088
49,187262
51,187262
20,19097
3,19097
1,19411
3,26810
3,26810
120,47345
1,47345
55,50913
3,208530
5,17823
26,13451
36,79187
35,79187
8,10703
30,57990
41,14631
7,35062
1,23622
13,23622
39,22881
3,31786
12,27592
179,27592
36,35820
13,23123
36,19576
11,17095
272,33090
13,26591
24,26591
9,23930
46,42885
3,39665
44,27156
13,27156
3,13354
56,39093
32,24551
27,40525
22,16369
36,16369
59,16369
48,44156
56,44156
12,4526
10,4526
23,9057
19,43703
44,39731
46,39731
16,19542
27,22388
32,40525
3,61362
27,61362
37,33563
36,14548
2,14548
2,14548
11,14548
22,34187
8,41220
56,38642
13,19409
3,33837
56,38642
12,27171
67,20445
77,23589
8,9429
9,9429
3,9868
3,9406
10,58108
8,7318
8,7318
7,9300
85,15344
24,12333
10,9682
13,15344
15,13129
10,17037
18,8362
72,12565
2,20314
18,11093
9,12176
72,8673
6,20820
59,8861
25,20238
8,20238
16,20238
14,22654
2,19884
24,16454
15,21167
104,20452
24,20452
30,20367
27,10932
70,9277
50,24131
76,20777
2,12565
12,9237
99,32413
7,28883
1,53861
12,18457
16,15711
22,13212
17,13212
3,15219
59,8218
35,8762
47,16187
8,17354
5,28975
15,30994
44,19804
86,12680
1,21185
67,7203
1,27469
10,20770
2,16140
21,16568
2,8362
13,17807
8,16994
31,18807
20,25004
48,25004
44,16615
34,15284
24,16510
12,16510
3,16510
398,14473
2,20825
25,28892
124,6424
8,19716
2,10460
22,26048
3,11583
2,60962
11,67503
3,10130
14,21588
3,21037
4,69539
40,16976
17,20699
9,104939
23,35893
17,15494
19,35893
364,61367
9,61367
8,80790
45,80790
12,56783
37,18903
33,80573
35,58473
20,109555
80,109555
15,66233
9,11881
1,69326
44,26305
32,29494
2,13689
21,12278
2,27856
11,16261
3,11294
35,10147
39,30261
15,20928
24,10137
21,33108
2,17789
13,41787
6,52083
30,39232
2,41210
3,22924
14,22924
3,15274
2,7838
20,41446
15,37040
25,5915
20,35131
2,29324
10,42822
11,41753
4,25092
3,8764
4,8764
12,8764
14,26112
3,42104
61,10185
1,30709
60,26250
7,20753
1,33005
1,29961
31,32977
2,7760
320,7760
44,42236
72,12377
4,29471
13,68433
2,30901
15,28067
39,28067
33,10483
13,35096
142,29153
13,30552
10,9629
32,28892
15,27795
1,27795
24,9451
140,17539
2,13059
12,18511
7,15344
24,16949
31,23795
21,40479
17,9096
22,23047
20,21406
30,9561
18,26475
18,26475
4,12557
15,16806
59,21951
12,21626
144,21626
10,22689
3,20953
128,21850
25,21850
54,15669
41,15235
3,24779
12,12143
25,20685
14,28936
44,28544
8,9153
18,11037
3,16986
2,22843
2,22843
8,9049
23,12349
1,24372
10,9912
56,27493
36,14427
4,17562
36,39083
26,39083
12,39083
44,14254
9,14254
1,16870
22,18520
5,25770
192,17890
20,21309
252,21309
56,17332
23,12334
68,15796
60,25290
18,14523
7,14523
36,11526
7,13635
2,36518
1,12283
12,14815
9,15021
96,13818
2,13818
4,16090
35,9910
76,29349
24,17051
51,9002
30,17051
8,13493
10,18285
204,22343
5,13117
8,23977
7,14949
168,13120
60,39219
5,21094
2,13513
23,34527
13,19372
33,13238
15,13238
7,13238
13,16600
3,32064
26,32064
8,20227
2,35802
20,22594
14,20568
2,20568
3,15092
2,47494
17,54635
1,23199
6,23199
396,50882
57,42450
18,15053
23,15053
9,68707
36,6467
3,21802
8,6132
248,55582
31,26692
80,58944
2,43132
16,6315
3,46976
23,39962
63,53754
11,53754
4,55537
5,44702
16,6877
1,162989
39,20310
56,80990
4,87088
22,72156
10,9192
48,15450
161,9192
37,66301
1,66301
16,57684
8,16853
20,58323
86,18982
11,123830
72,123830
20,23883
31,66753
4,11131
2,14839
160,14520
7,11131
3,68631
60,60197
3,5699
21,7241
31,60821
13,83144
11,83144
36,110003
36,19343
32,29732
34,59921
5,13257
13,11462
14,59252
6,6404
4,20911
10,122765
36,14956
3,16037
15,52583
19,16164
4,11353
60,60015
240,53529
15,6206
9,7105
7,7105
8,7105
27,7105
20,76082
8,96043
18,54747
90,58670
3,8440
94,83168
3,48026
30,9192
2,42134
7,16495
12,42134
44,16495
83,19055
9,53208
11,44904
57,16335
15,13854
67,27624
61,18102
13,34080
31,18821
58,21787
4,21787
22,30226
2,30226
3,53722
24,18457
26,18457
24,21507
19,39232
64,20963
26,20963
13,21577
36,21577
8,21577
150,16882
19,16882
3,48234
42,14068
33,14068
162,18457
13,19609
34,36266
3,21092
3,17231
396,21092
3,21092
13,20787
47,22880
7,24119
4,17432
38,27344
24,27344
2,44610
20,44610
7,44610
57,15845
10,18264
144,16165
12,14969
3,73442
22,42224
20,18461
135,21164
2,28007
20,46132
12,34291
20,88588
2,88588
1,88588
3,15176
52,15176
40,8525
27,8525
20,5565
2,5565
1,30147
12,7646
7,30147
54,24678
60,4702
15,9201
22,9201
3,9201
48,9086
1,6464
10,10659
1,14956
5,64543
4,36029
1,23428
5,11646
23,30102
2,22722
3,26762
16,11946
14,20704
32,22192
4,12782
27,12782
30,10587
3,14381
9,13784
15,16663
3,29087
3,9092
10,12996
49,10410
2,17403
60,17403
5,20641
39,11767
36,28953
3,28953
48,28953
144,42024
15,35125
30,19393
8,31937
48,13070
12,23476
21,23476
16,22276
32,16850
3,8444
33,20029
15,47852
4,47852
3,15575
9,16428
2,16428
60,19528
3,24078
8,24115
15,14101
15,5534
3,19856
61,27291
14,9839
8,27291
2,27291
60,10888
6,16280
26,16280
18,13021
2,24008
3,22288
3,22288
1,11012
39,16879
11,16879
116,10295
9,13686
14,16956
37,14949
4,17082
3,29526
8,32641
2,99332
12,10524
10,10524
80,16203
22,24965
3,23565
21,20999
18,26234
2,26234
7,26234
48,44163
15,25290
1,15295
8,35164
32,18753
59,15117
4,15117
41,20523
3,6827
121,16421
5,25331
65,19413
48,32212
3,34513
25,34072
4,34072
28,19525
27,48218
10,139759
24,20992
8,18647
19,148903
52,30426
48,19325
8,30426
36,60286
16,54089
27,55877
5,16484
30,19661
3,139050
30,25914
55,39076
1,61716
8,24937
16,15416
56,18206
3,17751
3,37222
15,25019
26,25019
64,25019
1,40012
18,56942
14,19164
22,20471
4,45966
13,53022
6,34253
13,26147
23,60761
21,67961
3,46646
26,7032
60,24352
8,6446
50,29014
56,29014
25,18613
14,6061
6,16607
61,67961
36,49569
50,57990
2,78772
76,19010
128,32709
18,9871
1,17074
2,16938
136,30543
8,30543
8,7493
8,64170
3,64170
45,7243
5,4547
4,23039
10,33371
13,22737
13,10111
4,31353
45,31353
4,31400
12,8816
2,29471
10,29471
5,27995
8,23582
15,28921
12,47362
22,17345
4,23720
57,23720
11,38642
9,38546
5,33405
2,82204
2,82204
9,29952
27,36739
78,22435
9,22435
1,44266
17,44266
11,43810
68,13423
44,87845
18,33851
3,24980
5,54891
11,12371
24,18008
13,18008
8,40492
9,26798
9,26798
7,22311
10,29766
12,17159
72,13742
3,13395
36,15727
